Id,Time[ns],0:I²C: Address/Data
1,67108480.00,Start
2,67109860.00,Address write: D6
3,67117820.00,Write
4,67118980.00,ACK
5,67120380.00,Data write: FF
6,67129440.00,ACK
7,67130780.00,Data write: A3
8,67139860.00,ACK
9,67141200.00,Data write: 02
10,67150300.00,ACK
11,67152240.00,Stop
12,68677280.00,Start
13,68678540.00,Address write: D6
14,68686440.00,Write
15,68687600.00,ACK
16,68688960.00,Data write: FF
17,68698020.00,ACK
18,68699360.00,Data write: B7
19,68708440.00,ACK
20,68709780.00,Data write: 5A
21,68718860.00,ACK
22,68720720.00,Stop
23,70677260.00,Start
24,70678520.00,Address write: D6
25,70686440.00,Write
26,70687600.00,ACK
27,70688960.00,Data write: FF
28,70698020.00,ACK
29,70699360.00,Data write: B7
30,70708420.00,ACK
31,70709780.00,Data write: 00
32,70718860.00,ACK
33,70720720.00,Stop
34,85676920.00,Start
35,85678180.00,Address write: D6
36,85686080.00,Write
37,85687240.00,ACK
38,85688600.00,Data write: FF
39,85697660.00,ACK
40,85699000.00,Data write: F0
41,85708080.00,ACK
42,85709440.00,Data write: 20
43,85718520.00,ACK
44,85719880.00,Data write: 20
45,85728960.00,ACK
46,85730320.00,Data write: 02
47,85739400.00,ACK
48,85740760.00,Data write: 02
49,85749840.00,ACK
50,85751180.00,Data write: 19
51,85760260.00,ACK
52,85761620.00,Data write: 29
53,85770700.00,ACK
54,85772040.00,Data write: 19
55,85781120.00,ACK
56,85782480.00,Data write: 29
57,85791540.00,ACK
58,85793400.00,Stop
59,85795260.00,Start
60,85796520.00,Address write: D6
61,85804440.00,Write
62,85805600.00,ACK
63,85806960.00,Data write: FF
64,85816020.00,ACK
65,85817360.00,Data write: F0
66,85826440.00,ACK
67,85828520.00,Start repeat
68,85829780.00,Address read: D7
69,85837680.00,Read
70,85838840.00,ACK
71,85840240.00,Data read: 01
72,85849220.00,NACK
73,85850980.00,Stop
74,87677020.00,Start
75,87678340.00,Address write: D6
76,87686240.00,Write
77,87687400.00,ACK
78,87688780.00,Data write: FF
79,87697840.00,ACK
80,87699180.00,Data write: B4
81,87708260.00,ACK
82,87709620.00,Data write: 00
83,87718720.00,ACK
84,87720600.00,Stop
85,89676780.00,Start
86,89678040.00,Address write: D6
87,89685940.00,Write
88,89687120.00,ACK
89,89688480.00,Data write: FF
90,89697520.00,ACK
91,89698880.00,Data write: A3
92,89707940.00,ACK
93,89709300.00,Data write: 00
94,89718400.00,ACK
95,89720260.00,Stop
96,91676720.00,Start
97,91678000.00,Address write: D6
98,91685900.00,Write
99,91687060.00,ACK
100,91688420.00,Data write: FF
101,91697480.00,ACK
102,91698820.00,Data write: B4
103,91707900.00,ACK
104,91709240.00,Data write: 01
105,91718340.00,ACK
106,91720200.00,Stop
107,98676580.00,Start
108,98677840.00,Address write: DE
